Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request_date,Request_hour,Unmet_demand
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11-07-2016 00:00,11,0
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,11-07-2016 00:00,17,0
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,12-07-2016 00:00,9,0
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,12-07-2016 00:00,21,0
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016 00:00,8,0
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016 00:00,21,0
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016 00:00,6,0
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016 00:00,5,0
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016 00:00,17,0
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,11-07-2016 00:00,6,0
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,12-07-2016 00:00,5,0
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12-07-2016 00:00,12,0
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016 00:00,4,0
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016 00:00,8,0
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016 00:00,14,0
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016 00:00,17,0
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016 00:00,12,0
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016 00:00,22,0
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,11-07-2016 00:00,10,0
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,11-07-2016 00:00,18,0
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,12-07-2016 00:00,11,0
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,12-07-2016 00:00,15,0
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,12-07-2016 00:00,18,0
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,13-07-2016 00:00,8,0
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,13-07-2016 00:00,21,0
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,14-07-2016 00:00,21,0
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,15-07-2016 00:00,2,0
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,15-07-2016 00:00,10,0
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,11-07-2016 00:00,13,0
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,12-07-2016 00:00,6,0
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,12-07-2016 00:00,9,0
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,12-07-2016 00:00,16,0
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,13-07-2016 00:00,5,0
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,13-07-2016 00:00,19,0
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,14-07-2016 00:00,2,0
